X_features	Y_features	association_comb	p-values_comb	q-values_comb	interaction_type_comb	association_sep	p-values_sep	q-values_sep	interaction_type_sep
AGPKZVBTJJNPAG-WHFBIAKZSA-N	AHLPHDHHMVZTML-BYPYZUCNSA-N	0.1277116483595253	0.5012370033151718	0.6326817278359971	metabolite-metabolite	0.1277116483595253	0.5012370033151718	0.6344911667644713	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	AYFVYJQAPQTCCC-GBXIJSLDSA-N	0.2431590656284759	0.1953958342512725	0.3048175014319856	metabolite-metabolite	0.2431590656284759	0.1953958342512725	0.3203329476015288	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	BTCSSZJGUNDROE-UHFFFAOYSA-N	-0.1083426028921024	0.5687567157299824	0.6924285303085238	metabolite-metabolite	-0.1083426028921024	0.5687567157299824	0.6947969851438289	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	CKLJMWTZIZZHCS-REOHCLBHSA-N	-0.121690767519466	0.5217867714133249	0.6499899093527168	metabolite-metabolite	-0.121690767519466	0.5217867714133249	0.6481914540655671	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	COLNVLDHVKWLRT-QMMMGPOBSA-N	0.6347052280311458	0.0001650664678898	0.0008341066367449	metabolite-metabolite	0.6347052280311458	0.0001650664678898	0.0008986952140661	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	DHMQDGOQFOQNFH-UHFFFAOYSA-N	0.4068965517241381	0.0256465659515336	0.0604781811043144	metabolite-metabolite	0.4068965517241381	0.0256465659515336	0.0611358680250075	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	FFEARJCKVFRZRR-BYPYZUCNSA-N	0.2275862068965515	0.2264615518610067	0.3400276607903167	metabolite-metabolite	0.2275862068965515	0.2264615518610067	0.3408516872720271	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	HNDVDQJCIGZPNO-YFKPBYRVSA-N	-0.0157953281423803	0.9339760412024593	0.9601323294004392	metabolite-metabolite	-0.0157953281423803	0.9339760412024593	0.9601012451521784	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	KDXKERNSBIXSRK-YFKPBYRVSA-N	0.4527252502780867	0.0120010489506046	0.0318561875285676	metabolite-metabolite	0.4527252502780867	0.0120010489506046	0.0320755308316154	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	KZSNJWFQEVHDMF-BYPYZUCNSA-N	0.8313681868743048	1.2718756270402311e-08	1.915369112204246e-07	metabolite-metabolite	0.8313681868743048	1.2718756270402311e-08	1.5159382282803338e-07	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	MTCFGRXMJLQNBG-REOHCLBHSA-N	0.1853170189098998	0.326878840999881	0.4540481435258625	metabolite-metabolite	0.1853170189098998	0.326878840999881	0.4490765385699302	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	ODKSFYDXXFIFQN-BYPYZUCNSA-N	0.1535209710245166	0.4179646493258926	0.5561891790242193	metabolite-metabolite	0.1535209710245166	0.4179646493258926	0.550216150306623	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	ONIBWKKTOPOVIA-BYPYZUCNSA-N	0.1270300333704113	0.5035428796479064	0.6345391217435505	metabolite-metabolite	0.1270300333704113	0.5035428796479064	0.6344911667644713	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	OUYCCCASQSFEME-QMMMGPOBSA-N	0.5359288097886541	0.0022699907968211	0.0080858454378565	metabolite-metabolite	0.5359288097886541	0.0022699907968211	0.0082732722429592	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	QIVBCDIJIAJPQS-VIFPVBQESA-N	-0.0068965517241379	0.9711474126155686	0.9854004099988528	metabolite-metabolite	-0.0068965517241379	0.9711474126155686	0.9936798351820552	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	QNAYBMKLOCPYGJ-REOHCLBHSA-N	0.3855394883203562	0.0353717951335501	0.0776341997087013	metabolite-metabolite	0.3855394883203562	0.0353717951335501	0.0799946751481828	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	ROHFNLRQFUQHCH-YFKPBYRVSA-N	0.9167964404894322	1.1155520951433573e-12	3.3274716315645485e-11	metabolite-metabolite	0.9167964404894322	1.1155520951433573e-12	1.9681145602135075e-11	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	WHUUTDBJXJRKMK-VKHMYHEASA-N	0.0011123470522802	0.9953454226627736	0.9966559498815526	metabolite-metabolite	0.0011123470522802	0.9953454226627736	0.9953454226627736	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	XOAAWQZATWQOTB-UHFFFAOYSA-N	-0.282313681868743	0.130653458010912	0.2245467905475675	metabolite-metabolite	-0.282313681868743	0.130653458010912	0.2313982931036635	amino_acids-amino_acids
AGPKZVBTJJNPAG-WHFBIAKZSA-N	ZDXPYRJPNDTMRX-VKHMYHEASA-N	-0.2204671857619577	0.2417146827222516	0.3559032259637416	metabolite-metabolite	-0.2204671857619577	0.2417146827222516	0.3565089467575686	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	AYFVYJQAPQTCCC-GBXIJSLDSA-N	0.3875848282966783	0.034327930928212	0.07600113965329	metabolite-metabolite	0.3875848282966783	0.034327930928212	0.0784384328463287	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	BTCSSZJGUNDROE-UHFFFAOYSA-N	-0.0723106022941562	0.7041458773274152	0.8046984996750117	metabolite-metabolite	-0.0723106022941562	0.7041458773274152	0.786089323908167	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	CKLJMWTZIZZHCS-REOHCLBHSA-N	-0.0046723773790069	0.9804503448954868	0.992192265193636	metabolite-metabolite	-0.0046723773790069	0.9804503448954868	0.9953454226627736	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	COLNVLDHVKWLRT-QMMMGPOBSA-N	0.2587607091326274	0.1673661961079791	0.2699512028422446	metabolite-metabolite	0.2587607091326274	0.1673661961079791	0.2827911589410683	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	DHMQDGOQFOQNFH-UHFFFAOYSA-N	0.2300589623758697	0.2213188687344205	0.3336233888454445	metabolite-metabolite	0.2300589623758697	0.2213188687344205	0.3377218723594444	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	FFEARJCKVFRZRR-BYPYZUCNSA-N	0.5261986905405536	0.0028191206515031	0.0096791930269439	metabolite-metabolite	0.5261986905405536	0.0028191206515031	0.0096895730773995	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	HNDVDQJCIGZPNO-YFKPBYRVSA-N	-0.0783179446385939	0.6808008571694866	0.7860155836622891	metabolite-metabolite	-0.0783179446385939	0.6808008571694866	0.7718076555571813	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	KDXKERNSBIXSRK-YFKPBYRVSA-N	0.5660251453425658	0.0011131439726246	0.0045391205961458	metabolite-metabolite	0.5660251453425658	0.0011131439726246	0.0046752046850242	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	KZSNJWFQEVHDMF-BYPYZUCNSA-N	0.1911224842174776	0.3116791214811689	0.4353204258703931	metabolite-metabolite	0.1911224842174776	0.3116791214811689	0.4308792870633087	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	MTCFGRXMJLQNBG-REOHCLBHSA-N	0.232728892306731	0.2158555813133325	0.3293042519333786	metabolite-metabolite	0.232728892306731	0.2158555813133325	0.3372612318248067	amino_acids-amino_acids
AHLPHDHHMVZTML-BYPYZUCNSA-N	ODKSFYDXXFIFQN-BYPYZUCNSA-N	0.4178905206942591	0.0215669915699434	0.0523180130428775	metabolite-metabolite	0.4178905206942591	0.0215669915699434	0.0540065632892674	amino_acids-amino_acids
